iter	MultiClass
0	1.018771888
1	0.9483628319
2	0.8873947183
3	0.8323747853
4	0.7830360756
5	0.7396424205
6	0.6996734509
7	0.6631636352
8	0.6298869493
9	0.5993907265
10	0.5713996748
11	0.5456854332
12	0.521832761
13	0.4996270362
14	0.4793112493
15	0.4600552235
16	0.442175992
17	0.4254703979
18	0.4098665786
19	0.395093236
20	0.3818127565
21	0.3690250153
22	0.3568922009
23	0.3455518182
24	0.3348565482
25	0.3249141244
26	0.3154584367
27	0.3066938982
28	0.2982867791
29	0.2901817995
30	0.2826559403
31	0.2755887511
32	0.2687718106
33	0.2624804309
34	0.2565827626
35	0.2508126959
36	0.2453017557
37	0.2401564252
38	0.2352223146
39	0.2305305749
40	0.2261424371
41	0.2220384809
42	0.2182779872
43	0.214724275
44	0.2112253504
45	0.2079709972
46	0.2048164243
47	0.2017080254
48	0.1987869662
49	0.1960164143
50	0.1935171357
51	0.1910008819
52	0.1886401952
53	0.1862463521
54	0.1838447517
55	0.1817709975
56	0.1797323659
57	0.1779113612
58	0.1760775307
59	0.1743103342
60	0.1727281292
61	0.1711228674
62	0.1695304103
63	0.1683321164
64	0.1669715371
65	0.1655319466
66	0.1641016642
67	0.1628586517
68	0.1616263468
69	0.1605209497
70	0.1593503948
71	0.1584557007
72	0.1572575004
73	0.1563725751
74	0.1552219678
75	0.1543242824
76	0.153329018
77	0.1524888144
78	0.1518408606
79	0.1509426541
80	0.1504095064
81	0.1496744813
82	0.1489934714
83	0.1480715963
84	0.1475122122
85	0.146708366
86	0.1461170626
87	0.1454615769
88	0.1449624286
89	0.1444183742
90	0.1438824472
91	0.1433458284
92	0.1428192436
93	0.1424008344
94	0.141754466
95	0.1412101152
96	0.140687172
97	0.1404287702
98	0.1399312924
99	0.1393770386
100	0.1390188979
101	0.1385994083
102	0.1383803474
103	0.1380866867
104	0.137682252
105	0.1373327881
106	0.1368863625
107	0.1364828562
108	0.1361754128
109	0.1359042727
110	0.1354174056
111	0.1350902117
112	0.1347052463
113	0.1344949785
114	0.1341670542
115	0.1339389669
116	0.1337113548
117	0.1334635733
118	0.1332482592
119	0.1330323285
120	0.1325993698
121	0.132276637
122	0.1319497846
123	0.1316284473
124	0.1313839209
125	0.1311820077
126	0.1309928694
127	0.1308612068
128	0.1307199975
129	0.130514777
130	0.1303361113
131	0.1300743323
132	0.1299380847
133	0.1296837193
134	0.1294904363
135	0.1293158209
136	0.1291777089
137	0.1289121513
138	0.1286244406
139	0.1284115588
140	0.1282810452
141	0.1279958331
142	0.1277347306
143	0.127595156
144	0.1274774582
145	0.1273418904
146	0.1272306047
147	0.1270683299
148	0.1268810683
149	0.1267632286
150	0.1266130365
151	0.1263535604
152	0.1261652858
153	0.1258693544
154	0.1257800358
155	0.1255008789
156	0.1253176238
157	0.125169869
158	0.1250821554
159	0.1249401648
160	0.1246574612
161	0.1245535914
162	0.1243941287
163	0.1242792328
164	0.1241641001
165	0.1239881415
166	0.1238401579
167	0.1236247942
168	0.123449003
169	0.1233649638
170	0.1232314459
171	0.1231295535
172	0.1230266781
173	0.1229167092
174	0.1227393875
175	0.1225461254
176	0.1224253925
177	0.1222469478
178	0.1221513151
179	0.1219803709
180	0.1218966331
181	0.1217713034
182	0.121643411
183	0.1214811372
184	0.1213737863
185	0.1212440822
186	0.1211727172
187	0.1209931938
188	0.1208953132
189	0.1207288344
190	0.1206511537
191	0.1205085581
192	0.1204381594
193	0.1203569236
194	0.1202356504
195	0.1201853989
196	0.1200343649
197	0.1199302749
198	0.1198773565
199	0.1198124624
200	0.1197538464
201	0.11966263
202	0.1194752456
203	0.119385736
204	0.1193178072
205	0.1192622977
206	0.1191979627
207	0.1191305217
208	0.1190511188
209	0.1189969593
210	0.1189299517
211	0.1188547353
212	0.1187298422
213	0.1186357687
214	0.118536748
215	0.118446958
216	0.1183740415
217	0.1182318964
218	0.1180707724
219	0.1180085144
220	0.117958146
221	0.1178676676
222	0.1178120144
223	0.1177141125
224	0.1176656427
225	0.1176000269
226	0.1175212702
227	0.1173977411
228	0.1173101266
229	0.1171285843
230	0.1170873511
231	0.1170329323
232	0.1169327635
233	0.116877608
234	0.1167825366
235	0.1165828671
236	0.1165307816
237	0.1164895943
238	0.116432912
239	0.1163632492
240	0.1162919188
241	0.1162599741
242	0.1162061304
243	0.1161619355
244	0.1159739184
245	0.1159060494
246	0.1158542345
247	0.1157660742
248	0.1157174189
249	0.1156691366
250	0.1155241129
251	0.1153444577
252	0.115251548
253	0.115065656
254	0.1150293194
255	0.1149690563
256	0.1149032498
257	0.114839234
258	0.1147940989
259	0.1146836639
260	0.1146110392
261	0.1145493276
262	0.1144582008
263	0.1144167184
264	0.1143591706
265	0.1142841113
266	0.1141809213
267	0.1141373438
268	0.1141015412
269	0.1140644155
270	0.1140078352
271	0.1139269431
272	0.1138504784
273	0.1138055907
274	0.1137140676
275	0.1136768548
276	0.1135799541
277	0.1135308648
278	0.1134851462
279	0.1134058722
280	0.1133753106
281	0.1133259183
282	0.1132410202
283	0.1131874053
284	0.113126179
285	0.1130776877
286	0.1130576414
287	0.1129025925
288	0.112865313
289	0.1127725089
290	0.1126728159
291	0.1126566286
292	0.1126129055
293	0.1124793995
294	0.1124476504
295	0.1123971983
296	0.1123060593
297	0.1122187649
298	0.1121858655
299	0.112106975
300	0.1120728455
301	0.112032037
302	0.1119864717
303	0.1119321156
304	0.1118899435
305	0.1117742938
306	0.1117389422
307	0.1116676803
308	0.1116354805
309	0.1116015553
310	0.1115630161
311	0.1115033582
312	0.1114686959
313	0.1114338565
314	0.1113387785
315	0.1113199593
316	0.1112340346
317	0.1111487173
318	0.1111215945
319	0.1109980694
320	0.1109250916
321	0.110855335
322	0.1108164876
323	0.1107506386
324	0.1107102044
325	0.1106845822
326	0.1106008365
327	0.110573734
328	0.1105308751
329	0.1104692439
330	0.1104338887
331	0.1103644322
332	0.1103268409
333	0.1102790862
334	0.1102274565
335	0.1101793778
336	0.1101473741
337	0.110115833
338	0.1100882916
339	0.1100516522
340	0.1100129103
341	0.1099714942
342	0.1099275601
343	0.109891603
344	0.1097509724
345	0.1097275459
346	0.1096369185
347	0.1096005243
348	0.1095383633
349	0.1095102055
350	0.1094380997
351	0.1093862997
352	0.1093540746
353	0.109321364
354	0.109284786
355	0.1091831046
356	0.109156864
357	0.109067326
358	0.1090257265
359	0.1089942956
360	0.1089028216
361	0.108819304
362	0.1087936744
363	0.1087707227
364	0.1086964851
365	0.1086121424
366	0.1085702008
367	0.1085168482
368	0.1084787235
369	0.1084516344
370	0.1083640755
371	0.1083271736
372	0.1083119333
373	0.1082843929
374	0.1082580182
375	0.1082304586
376	0.1082002713
377	0.1081424592
378	0.1080933452
379	0.1079947576
380	0.1079223853
381	0.1078832189
382	0.1078561566
383	0.1078236958
384	0.107805517
385	0.1077688082
386	0.1077444319
387	0.1076650207
388	0.1076469988
389	0.1076254032
390	0.1075802438
391	0.1075521824
392	0.107525995
393	0.1074217426
394	0.1074038476
395	0.1073784498
396	0.107351478
397	0.1072877475
398	0.107264368
399	0.1072461195
400	0.1071505598
401	0.1071256854
402	0.1070559782
403	0.1070319277
404	0.1069932946
405	0.1069616931
406	0.1069348628
407	0.1068954808
408	0.1068694335
409	0.1068447238
410	0.1068306227
411	0.1067942802
412	0.1067655606
413	0.1067189698
414	0.1066828894
415	0.1066593751
416	0.106638026
417	0.1065707674
418	0.1065092974
419	0.1064887851
420	0.1064680734
421	0.1064314201
422	0.1064019846
423	0.1063164421
424	0.1062776148
425	0.1061911627
426	0.1061695715
427	0.1061521478
428	0.1060894438
429	0.1060661917
430	0.1060077541
431	0.105954915
432	0.1059041294
433	0.1058823389
434	0.105842722
435	0.1058055841
436	0.1057791672
437	0.1057535311
438	0.1057243546
439	0.1057007383
440	0.1056724725
441	0.1056392803
442	0.1055979811
443	0.1055654892
444	0.1055138444
445	0.1054776517
446	0.1054598325
447	0.1054286417
448	0.1053834484
449	0.1053604869
450	0.1053345742
451	0.105308604
452	0.1052901995
453	0.1052673424
454	0.1052419552
455	0.1051841406
456	0.1051470982
457	0.1050665323
458	0.1050371815
459	0.1049905131
460	0.104967363
461	0.1049401852
462	0.1049156886
463	0.1048829669
464	0.1048563837
465	0.1048465127
466	0.1048216921
467	0.1047821326
468	0.1047339746
469	0.1047175993
470	0.1046944771
471	0.10467845
472	0.1046499807
473	0.1046324811
474	0.1046188931
475	0.1046049368
476	0.1045784028
477	0.1045297571
478	0.1045101106
479	0.1044527835
480	0.1044372897
481	0.1043983981
482	0.104377137
483	0.1043576195
484	0.1043205143
485	0.1042759393
486	0.1042558285
487	0.1042213011
488	0.1041879924
489	0.1041660167
490	0.1041482109
491	0.1041259186
492	0.1041029893
493	0.1040579834
494	0.1040348544
495	0.1040047591
496	0.1039801105
497	0.1039482666
498	0.1039355722
499	0.1039166912
500	0.1038525267
501	0.1038181598
502	0.1037911046
503	0.1037520708
504	0.1037076609
505	0.1036716146
506	0.103656572
507	0.1036112686
508	0.1035947802
509	0.1035692394
510	0.1035300407
511	0.1035135588
512	0.1034929944
513	0.1034443688
