iter	Passed	Remaining
0	84	50576
1	167	49979
2	245	48803
3	327	48764
4	409	48781
5	494	48932
6	576	48801
7	658	48749
8	743	48854
9	826	48792
10	909	48675
11	990	48552
12	1071	48398
13	1152	48222
14	1235	48181
15	1317	48097
16	1400	48024
17	1484	47992
18	1566	47904
19	1645	47732
20	1727	47616
21	1811	47604
22	1893	47502
23	1977	47459
24	2058	47355
25	2142	47289
26	2222	47171
27	2304	47077
28	2386	46990
29	2471	46961
30	2554	46893
31	2637	46820
32	2720	46749
33	2804	46693
34	2885	46572
35	2965	46461
36	3046	46354
37	3128	46266
38	3214	46234
39	3297	46167
40	3379	46082
41	3461	45991
42	3545	45922
43	3631	45886
44	3712	45788
45	3793	45682
46	3876	45606
47	3959	45537
48	4040	45438
49	4124	45364
50	4207	45293
51	4290	45212
52	4372	45122
53	4452	45021
54	4539	44983
55	4622	44900
56	4705	44829
57	4790	44762
58	4873	44687
59	4958	44626
60	5042	44555
61	5126	44489
62	5208	44398
63	5292	44323
64	5378	44265
65	5461	44185
66	5545	44112
67	5628	44033
68	5708	43928
69	5790	43841
70	5872	43755
71	5953	43657
72	6035	43569
73	6116	43479
74	6199	43396
75	6282	43319
76	6365	43233
77	6446	43142
78	6528	43052
79	6611	42971
80	6694	42895
81	6774	42794
82	6855	42703
83	6939	42628
84	7022	42546
85	7104	42459
86	7185	42370
87	7266	42274
88	7345	42176
89	7428	42096
90	7510	42007
91	7591	41918
92	7677	41855
93	7759	41770
94	7842	41690
95	7923	41598
96	8005	41513
97	8089	41436
98	8172	41356
99	8255	41277
100	8336	41187
101	8416	41090
102	8500	41015
103	8582	40933
104	8664	40846
105	8746	40760
106	8829	40682
107	8911	40596
108	8992	40506
109	9076	40430
110	9164	40371
111	9243	40277
112	9326	40193
113	9409	40113
114	9491	40028
115	9572	39940
116	9654	39854
117	9736	39772
118	9818	39685
119	9899	39598
120	9981	39512
121	10062	39427
122	10145	39342
123	10226	39257
124	10310	39180
125	10395	39108
126	10477	39022
127	10560	38943
128	10645	38867
129	10726	38781
130	10808	38695
131	10893	38620
132	10974	38533
133	11055	38446
134	11139	38368
135	11221	38284
136	11302	38197
137	11384	38114
138	11467	38032
139	11551	37955
140	11631	37865
141	11713	37781
142	11797	37701
143	11881	37624
144	11966	37549
145	12047	37461
146	12129	37378
147	12211	37295
148	12292	37208
149	12373	37121
150	12455	37035
151	12535	36947
152	12621	36874
153	12706	36800
154	12789	36719
155	12875	36645
156	12958	36563
157	13037	36473
158	13119	36387
159	13203	36309
160	13283	36220
161	13364	36134
162	13446	36050
163	13529	35967
164	13615	35895
165	13702	35824
166	13784	35739
167	13869	35663
168	13949	35575
169	14030	35487
170	14110	35399
171	14193	35317
172	14274	35231
173	14357	35151
174	14439	35066
175	14522	34987
176	14604	34902
177	14687	34821
178	14770	34739
179	14854	34660
180	14936	34576
181	15020	34497
182	15104	34419
183	15191	34345
184	15273	34262
185	15356	34179
186	15439	34098
187	15524	34022
188	15608	33941
189	15689	33857
190	15771	33772
191	15853	33688
192	15936	33607
193	16020	33526
194	16099	33438
195	16182	33355
196	16263	33270
197	16346	33188
198	16428	33105
199	16512	33025
200	16594	32940
201	16676	32858
202	16761	32779
203	16843	32696
204	16927	32615
205	17008	32530
206	17091	32449
207	17174	32366
208	17259	32289
209	17343	32210
210	17425	32125
211	17507	32042
212	17591	31961
213	17674	31879
214	17755	31795
215	17840	31716
216	17921	31631
217	18005	31551
218	18086	31465
219	18169	31383
220	18251	31299
221	18333	31215
222	18416	31135
223	18499	31052
224	18583	30972
225	18666	30890
226	18748	30807
227	18831	30725
228	18914	30642
229	18998	30562
230	19078	30475
231	19159	30391
232	19243	30310
233	19326	30228
234	19408	30145
235	19492	30064
236	19577	29985
237	19659	29902
238	19740	29817
239	19823	29735
240	19911	29660
241	19993	29577
242	20077	29496
243	20159	29413
244	20241	29329
245	20321	29243
246	20405	29162
247	20488	29080
248	20571	28998
249	20654	28916
250	20738	28835
251	20820	28752
252	20901	28667
253	20984	28585
254	21066	28501
255	21148	28418
256	21230	28334
257	21312	28251
258	21393	28166
259	21474	28082
260	21558	28001
261	21648	27928
262	21733	27848
263	21817	27768
264	21897	27681
265	21980	27599
266	22063	27517
267	22149	27438
268	22232	27356
269	22313	27272
270	22395	27189
271	22480	27108
272	22566	27030
273	22667	26969
274	22753	26890
275	22838	26810
276	22920	26726
277	23004	26645
278	23086	26561
279	23170	26480
280	23252	26397
281	23333	26312
282	23414	26227
283	23497	26144
284	23580	26063
285	23663	25980
286	23746	25897
287	23827	25813
288	23910	25730
289	23992	25647
290	24078	25567
291	24162	25486
292	24245	25403
293	24327	25320
294	24410	25237
295	24494	25156
296	24578	25074
297	24661	24992
298	24742	24908
299	24825	24825
300	24907	24742
301	24987	24656
302	25070	24574
303	25152	24490
304	25238	24410
305	25320	24327
306	25402	24244
307	25484	24160
308	25564	24075
